Ensembl Transcript ID	RefSeq mRNA [e.g. NM_001195597]	Transcript length (including UTRs and CDS)
ENST00000637298		2631
ENST00000636105		2171
ENST00000637990		2394
ENST00000636505		2371
ENST00000637631		2080
ENST00000636899		593
ENST00000637008		563
ENST00000637907		569
ENST00000637690		1657
ENST00000637057		1501
ENST00000637902		1657
ENST00000637440		1408
ENST00000635728		844
ENST00000637253		880
ENST00000636275		1098
ENST00000637452		515
ENST00000637767		701
ENST00000635965		912
ENST00000637058		1025
ENST00000637177		649
ENST00000638006		389
ENST00000637715		670
ENST00000637516		587
ENST00000637075		2295
ENST00000636848		2565
ENST00000638097		2156
ENST00000638116		1557
ENST00000636896		830
ENST00000637600		756
ENST00000636284		572
ENST00000635908		592
ENST00000638027		603
ENST00000636918		547
ENST00000636761		10286
ENST00000637549		9890
ENST00000637496		381
ENST00000361390	4535	956
ENST00000361453	4536	1042
ENST00000361624	4512	1542
ENST00000361739	4513	684
ENST00000361851	4509	207
ENST00000361899	4508	681
ENST00000362079	4514	784
ENST00000300177	NM_013372	4138
ENST00000300177	NM_001191322	4138
ENST00000322805	NM_001191323	4015
ENST00000361227	4537	346
ENST00000612769		399
ENST00000361335	4539	297
ENST00000340446	NM_032135	2938
ENST00000354649	NM_001045477	2851
ENST00000629900		90
ENST00000361381	4538	1378
ENST00000372322	NM_001170741	2516
ENST00000627186		129
ENST00000361567	4540	1812
ENST00000632848		717
ENST00000361681	4541	525
ENST00000617608	NM_178829	763
ENST00000421362	NM_001040412	3259
ENST00000354479	NM_001040411	3184
ENST00000361789	4519	1141
ENST00000534880		579
ENST00000537671		395
ENST00000312292	NM_001287391	3409
ENST00000312292	NM_203299	3409
ENST00000312292	NM_001040410	3409
ENST00000378745		810
ENST00000416537		571
ENST00000617291	NM_001013	711
ENST00000629607		476
ENST00000618156	NM_001291504	3450
ENST00000618156	NM_006241	3450
ENST00000418939		872
ENST00000460437		889
ENST00000438848	NM_001291505	839
ENST00000413183		706
ENST00000378198	NM_016614	2071
ENST00000366999	NM_002497	2131
ENST00000462906		1668
ENST00000341060		2120
ENST00000625807		245
ENST00000462283		801
ENST00000478507		573
ENST00000489633		661
ENST00000478285		857
ENST00000366998	NM_001204183	1865
ENST00000337288	NM_020151	3368
ENST00000480495		714
ENST00000479456		2949
ENST00000540251	NM_001204182	1318
ENST00000462501		753
ENST00000443962		742
ENST00000477208		660
ENST00000495687		274
ENST00000488084		384
ENST00000512760		1431
ENST00000383228		780
ENST00000342820		2153
ENST00000511594		2288
ENST00000383227		1010
ENST00000622387		2269
ENST00000512733	NM_001040202	9811
ENST00000619956	NM_015629	2183
ENST00000515541		804
ENST00000498081		1738
ENST00000503343		487
ENST00000395594		3995
ENST00000383230	NM_006120	1126
ENST00000515853		3370
ENST00000505715		520
ENST00000466370		698
ENST00000512299		597
ENST00000624636		903
ENST00000486785		806
ENST00000412394		871
ENST00000505735		570
ENST00000508599		549
ENST00000418042		611
ENST00000618755		1193
ENST00000461059		984
ENST00000616277	NM_013342	1205
ENST00000356725	NM_206894	3037
ENST00000528994		922
ENST00000586323		581
ENST00000530443	NM_001005169	975
ENST00000525288		538
ENST00000527645		578
ENST00000450052		1050
ENST00000613249	NM_001242800	2183
ENST00000614179	NM_001242801	2361
ENST00000615484	NM_001242802	2451
ENST00000305456	NM_001005193	1038
ENST00000442122		1100
ENST00000473684		3043
ENST00000600125		2903
ENST00000265322	NM_018441	1853
ENST00000317398	NM_024833	2431
ENST00000461330		812
ENST00000601584		1932
ENST00000596939		977
ENST00000464737		495
ENST00000438581		4393
ENST00000594803		460
ENST00000599961		418
ENST00000497889		824
ENST00000622368	NM_144686	2412
ENST00000622368	NM_001145303	2412
ENST00000487318		742
ENST00000474093		585
ENST00000319172	NM_018266	4369
ENST00000464722		640
ENST00000468545		575
ENST00000491685		852
ENST00000486159		826
ENST00000486235		885
ENST00000624333		501
ENST00000468676		935
ENST00000490099		868
ENST00000497993		590
ENST00000482162		554
ENST00000461654		588
ENST00000624832		375
ENST00000624326		375
ENST00000441371		811
ENST00000495165		2643
ENST00000308284	NM_033127	3985
ENST00000327037		1807
ENST00000528461		3277
ENST00000526773		806
ENST00000464631		2948
ENST00000622437	NM_001080772	1566
ENST00000527976		525
ENST00000615243		1392
ENST00000611022	NM_001080770	1443
ENST00000615232		715
ENST00000623865		375
ENST00000614253		1656
ENST00000413287		724
ENST00000487443		1682
ENST00000413655	NM_001303007	1688
ENST00000413655	NM_001303008	1688
ENST00000589591		542
ENST00000494351		937
ENST00000495450		898
ENST00000424790	NM_013974	1330
ENST00000221859	NM_006233	913
ENST00000585842		368
ENST00000592962		493
ENST00000586789		993
ENST00000447101		1688
ENST00000613354	NM_144686	2412
ENST00000613354	NM_001145303	2412
ENST00000586439		744
ENST00000589069		582
ENST00000449216		887
ENST00000623847		375
ENST00000427351		882
ENST00000460151		1121
ENST00000410018		3626
ENST00000256689	NM_018976	4888
ENST00000619581	NM_013342	1205
ENST00000409235	NM_021185	3746
ENST00000628802		48
ENST00000312265		3501
ENST00000471517		3785
ENST00000549258		4384
ENST00000475343		668
ENST00000551374		2802
ENST00000409410		2634
ENST00000552703		528
ENST00000477793		653
ENST00000546520		601
ENST00000548785		578
ENST00000466060		633
ENST00000548111		583
ENST00000548236		865
ENST00000412458		2899
ENST00000552414		566
ENST00000548870		576
ENST00000475646		452
ENST00000488473		722
ENST00000467739		737
ENST00000489693		541
ENST00000470292		567
ENST00000547252		847
ENST00000585424		438
ENST00000551405		526
ENST00000553252		846
ENST00000492088		3761
ENST00000612232	NM_001307936	1221
ENST00000356878	NM_031852	2922
ENST00000525929	NM_018910	5221
ENST00000445008		3848
ENST00000525842	NM_014155	9315
ENST00000378123	NM_031856	2616
ENST00000357899		2781
ENST00000531613	NM_018911	5260
ENST00000530205	NM_001301099	2179
ENST00000529982		2629
ENST00000527478		3085
ENST00000525623		611
ENST00000528448		539
ENST00000529348		2158
ENST00000397753	NM_001301098	3951
ENST00000615689		2207
ENST00000318203	NM_152677	2246
ENST00000626900		63
ENST00000612521		1979
ENST00000533095		412
ENST00000216471	NM_001010860	2564
ENST00000615523	NM_001322168	1900
ENST00000615523	NM_013289	1900
ENST00000611574		1849
ENST00000587552		2816
ENST00000620643		1497
ENST00000002165	NM_032020	2356
ENST00000451668		737
ENST00000367585		646
ENST00000392011	NM_014521	5194
ENST00000484097		612
ENST00000416021		593
ENST00000409212		5231
ENST00000489601		638
ENST00000344528		5044
ENST00000599618		612
ENST00000444916		570
ENST00000533640		1329
ENST00000446904		829
ENST00000532254	NM_001282524	2016
ENST00000597252	NM_001102657	3209
ENST00000462602		257
ENST00000596428		558
ENST00000493436		481
ENST00000454947		500
ENST00000597065		808
ENST00000262995	NM_207123	7981
ENST00000602187		384
ENST00000397110	NM_182486	1647
ENST00000322146		2811
ENST00000262994	NM_002039	2648
ENST00000337843	NM_031910	2934
ENST00000514639		728
ENST00000470655		5003
ENST00000372970		1616
ENST00000515366		582
ENST00000493023		3296
ENST00000255174	NM_016470	1572
ENST00000434784		975
ENST00000505913		2477
ENST00000467564		479
ENST00000497071		688
ENST00000515388		1176
ENST00000367660	NM_021243	845
ENST00000509992		743
ENST00000461027		456
ENST00000511836		571
ENST00000512843		470
ENST00000507334		559
ENST00000507070		677
ENST00000510615		568
ENST00000508833		577
ENST00000511109		838
ENST00000287387	NM_018024	1349
ENST00000523984	NM_001283024	1491
ENST00000523984	NM_001283027	1491
ENST00000424032		558
ENST00000259818	NM_178012	2020
ENST00000360614	NM_004793	3236
ENST00000600321		953
ENST00000473006		1923
ENST00000637373		1362
ENST00000344085		496
ENST00000590558		2884
ENST00000597976		491
ENST00000422689	NM_001145434	2230
ENST00000585374		2882
ENST00000595099		551
ENST00000593119	NM_001276479	2918
ENST00000596096		566
ENST00000540670	NM_001276480	3002
ENST00000430298		3941
ENST00000524254		764
ENST00000595703		568
ENST00000522194		341
ENST00000590729		2626
ENST00000601686		546
ENST00000589473		793
ENST00000397755		3246
ENST00000596883		692
ENST00000590206		725
ENST00000517609		909
ENST00000588589		684
ENST00000397759		777
ENST00000587365		641
ENST00000591321		913
ENST00000519199		949
ENST00000586617		471
ENST00000523551		853
ENST00000590728		591
ENST00000523356		869
ENST00000590511		722
ENST00000518125		880
ENST00000064778	NM_001286050	7296
ENST00000450446	NM_001286051	1364
ENST00000327064	NM_199141	3330
ENST00000356467	NM_015159	1767
ENST00000588947		468
ENST00000632101		473
ENST00000432223		696
ENST00000590699		2240
ENST00000394391	NM_020313	2182
ENST00000344150		2722
ENST00000586221		2766
ENST00000567518	NM_001308347	2016
ENST00000409021	NM_001099433	2975
ENST00000590039		596
ENST00000409371		2420
ENST00000589693		601
ENST00000473053		2605
ENST00000565961		1814
ENST00000586508		1050
ENST00000371497	NM_173485	12187
ENST00000593075		605
ENST00000586298		674
ENST00000569370		1559
ENST00000603338	NM_001193421	3803
ENST00000282924	NM_144720	2585
ENST00000592516		696
ENST00000568940		1137
ENST00000605656		980
ENST00000409831	NM_001306133	2371
ENST00000626626		670
ENST00000569979		896
ENST00000329613		3093
ENST00000410077	NM_001306134	1835
ENST00000259396	NM_000607	802
ENST00000570000		994
ENST00000564885		493
ENST00000477456		422
ENST00000567751		328
ENST00000373652		3120
ENST00000465090		1053
ENST00000283946	NM_174899	2810
ENST00000565786		641
ENST00000409992		1911
ENST00000569246		910
ENST00000457227		1039
ENST00000565368		851
ENST00000636216		138
ENST00000563561		597
ENST00000566284		1165
ENST00000221855	NM_001281	1473
ENST00000563341		505
ENST00000481742		904
ENST00000392178		791
ENST00000589996		724
ENST00000591296		399
ENST00000282388	NM_006887	3696
ENST00000588385		776
ENST00000589624		597
ENST00000589308		659
ENST00000585746	NM_001300971	875
ENST00000450456		916
ENST00000586868		466
ENST00000585910		656
ENST00000468156		630
ENST00000629269		413
ENST00000297904	NM_004469	2037
ENST00000488351		600
ENST00000278222	NM_006512	727
ENST00000588098		281
ENST00000587295		496
ENST00000612465		2195
ENST00000426126	NM_015336	5259
ENST00000262407	NM_000419	3333
ENST00000546778		1146
ENST00000552453		856
ENST00000592462		3189
ENST00000631153		42
ENST00000547620		567
ENST00000550876		564
ENST00000470285		423
ENST00000551407		544
ENST00000547604		276
ENST00000592226		1170
ENST00000361246	NM_006035	6758
ENST00000550163		730
ENST00000549682		596
ENST00000560492		646
ENST00000591990		565
ENST00000549944		815
ENST00000559790		713
ENST00000589645		579
ENST00000559245		738
ENST00000592075		461
ENST00000549010		491
ENST00000558867		635
ENST00000592253		462
ENST00000559043		1999
ENST00000592944		563
ENST00000550789		686
ENST00000634889		507
ENST00000552693		2078
ENST00000558321		528
ENST00000553091		500
ENST00000561271		572
ENST00000550244		1188
ENST00000547673		447
ENST00000470197		3648
ENST00000374941	NM_006064	2061
ENST00000414239		644
ENST00000255262	NM_020167	2073
ENST00000262850	NM_016656	1573
ENST00000518933		444
ENST00000421239	NM_001099694	2017
ENST00000498762		507
ENST00000474757		709
ENST00000594118		740
ENST00000596382		5255
ENST00000475061		376
ENST00000602221		472
ENST00000596674		491
ENST00000601120		814
ENST00000504123	NM_144571	8843
ENST00000504123	NM_001286790	8843
ENST00000515506		4024
ENST00000512485		1890
ENST00000316375	NM_173525	1142
ENST00000311907	NM_001311257	2023
ENST00000311907	NM_000506	2023
ENST00000504804		1925
ENST00000469189		610
ENST00000505983		781
ENST00000530231		1849
ENST00000508371		700
ENST00000442468		1031
ENST00000506166		781
ENST00000490274		545
ENST00000515441		572
ENST00000321027	NM_001201334	4440
ENST00000321027	NM_003203	4440
ENST00000392452	NM_178496	3368
ENST00000492826		443
ENST00000409857		2516
ENST00000427862		632
ENST00000330430	NM_005822	3188
ENST00000472230		2265
ENST00000371374	NM_001251974	3327
ENST00000486016		595
ENST00000442309		642
ENST00000306764	NM_001251973	3240
ENST00000470503	NM_001201335	1066
ENST00000238379	NM_031219	1834
ENST00000405162		2457
ENST00000541687		4318
ENST00000374180	NM_001304509	1497
ENST00000374180	NM_001304510	1497
ENST00000374180	NM_001304511	1497
ENST00000529301		1075
ENST00000623725		375
ENST00000485934		913
ENST00000308302	NM_198447	883
ENST00000475517		386
ENST00000395068	NM_001009184	1814
ENST00000530898		558
ENST00000531992		597
ENST00000534791		1050
ENST00000525513		796
ENST00000624245		75
ENST00000533044		564
ENST00000527194		806
ENST00000533377		627
ENST00000313269	NM_000837	1968
ENST00000379161	NM_012345	3492
ENST00000255681	NM_014067	1205
ENST00000542105		431
ENST00000538042		264
ENST00000541041		230
ENST00000543422		403
ENST00000545464		899
ENST00000542359		459
ENST00000613465	NM_014218	1406
ENST00000538595		868
ENST00000616631		1212
ENST00000332312	NM_052846	3796
ENST00000256062	NM_175861	8805
ENST00000551659		4228
ENST00000552618		3915
ENST00000600714		810
ENST00000552925		1858
ENST00000612919		372
ENST00000601257		704
ENST00000597597	NM_001277946	4442
ENST00000319685		3254
ENST00000541777		3743
ENST00000539277	NM_001193451	2758
ENST00000545872	NM_001277951	2633
ENST00000594682		2890
ENST00000553189		5547
ENST00000624731		2094
ENST00000550354		593
ENST00000595939		670
ENST00000596930		560
ENST00000546582		464
ENST00000597161		509
ENST00000598536		522
ENST00000601140		576
ENST00000408896	NM_012353	945
ENST00000595171		578
ENST00000446656	NM_058165	1048
ENST00000601237		728
ENST00000596440		561
ENST00000415614		588
ENST00000618770		1164
ENST00000602232		575
ENST00000327673		3498
ENST00000556320		815
ENST00000600457		596
ENST00000628087		33
ENST00000315323	NM_001466	2112
ENST00000598190		937
ENST00000617804		573
ENST00000556573	NM_001286389	1430
ENST00000255008	NM_001052	1427
ENST00000452729		732
ENST00000341595		2513
ENST00000418500		303
ENST00000560961		471
ENST00000615704	NM_001286390	636
ENST00000301096	NM_001277947	2599
ENST00000301096	NM_018300	2599
ENST00000451188	NM_001137560	4895
ENST00000243222	NM_000493	3289
ENST00000536937	NM_001105550	2726
ENST00000536937	NM_001105552	2726
ENST00000536937	NM_001277948	2726
ENST00000536937	NM_001105551	2726
ENST00000536937	NM_001277945	2726
ENST00000536937	NM_001277952	2726
ENST00000536937	NM_001277949	2726
ENST00000536937	NM_001105549	2726
ENST00000616017		1645
ENST00000596530		417
ENST00000438774		1140
ENST00000370453		654
ENST00000517717		2673
ENST00000628402		569
ENST00000504819		1237
ENST00000243578	NM_030578	1027
ENST00000519003		538
ENST00000518082		579
ENST00000594416		848
ENST00000612571	NM_013289	671
ENST00000359653	NM_017580	5695
ENST00000519175		363
ENST00000376810	NM_013319	3646
ENST00000338230	NM_198457	3829
ENST00000379555		1234
ENST00000611088	NM_001135686	897
ENST00000427401	NM_001159293	2867
ENST00000471421		587
ENST00000435869		1046
ENST00000232974	NM_145166	3781
ENST00000470865		1460
ENST00000601597		421
ENST00000599893		600
ENST00000376804		825
ENST00000231188	NM_000843	6143
ENST00000456772	NM_005527	2544
ENST00000594419		872
ENST00000594028		506
ENST00000597765		562
ENST00000505904		2456
ENST00000597124		333
ENST00000486588		831
ENST00000597940		544
ENST00000389362	NM_006248	1429
ENST00000604609		506
ENST00000598369		650
ENST00000515256		1213
ENST00000309683	NM_178558	3022
ENST00000596797		569
ENST00000626555		899
ENST00000545829		406
ENST00000335286		1336
ENST00000565533		100
ENST00000476563		769
ENST00000634278		1966
ENST00000354914	NM_173833	4026
ENST00000509264		642
ENST00000595973		890
ENST00000483738		1393
ENST00000470847		564
ENST00000444083		1534
ENST00000613773	NM_182761	1374
ENST00000620555	NM_001163991	1233
ENST00000380385		2934
ENST00000544612	NM_017704	2268
ENST00000473977		1417
ENST00000524352		1945
ENST00000357383	NM_000737	877
ENST00000616476	NM_001817	1205
ENST00000447137	NM_001130022	2159
ENST00000373615	NM_004789	2554
ENST00000540349		573
ENST00000399300	NM_203390	7269
ENST00000289707	NM_020125	2996
ENST00000415751		1073
ENST00000518030		1074
ENST00000462917		2170
ENST00000446480		1414
ENST00000328914	NM_001037165	11181
ENST00000534911		760
ENST00000368104		1038
ENST00000338588	NM_205855	1800
ENST00000252809	NM_004864	1200
ENST00000311127	NM_020733	9156
ENST00000473601		566
ENST00000535502		515
ENST00000488674		1266
ENST00000517700		6001
ENST00000594925		294
ENST00000460979		758
ENST00000375120	NM_015207	6397
ENST00000487661		3973
ENST00000498327		4222
ENST00000520961		507
ENST00000637646		2911
ENST00000496023		1928
ENST00000545130		562
ENST00000480667		544
ENST00000217133	NM_030773	3496
ENST00000466697		465
ENST00000544514		587
ENST00000434335	NM_002119	3489
ENST00000519109		615
ENST00000482699		532
ENST00000471286		764
ENST00000481686		269
ENST00000352210	NM_000309	1686
ENST00000518597		579
ENST00000544253		3002
ENST00000318673		2745
ENST00000497141		576
ENST00000488654		421
ENST00000487893		402
ENST00000375980	NM_024329	2419
ENST00000396976	NM_152455	5595
ENST00000541144		567
ENST00000623198		501
ENST00000355173	NM_020836	2674
ENST00000474803		596
ENST00000295824	NM_144715	2823
ENST00000509448		581
ENST00000520560		588
ENST00000466497		545
ENST00000445566		899
ENST00000637716		3259
ENST00000566849		2834
ENST00000455693	NM_000746	2071
ENST00000455693	NM_001190455	2071
ENST00000367123	NM_001271872	7204
ENST00000477536		1054
ENST00000457663		303
ENST00000515197		617
ENST00000367999	NM_001122764	1740
ENST00000521947		452
ENST00000302755		1844
